Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,101.5,102.62000274658203,100.01000213623047,100.77999877929688,86.56092834472656,3060900
2015-01-05,100.30000305175781,100.44999694824219,98.75,99.12000274658203,85.13516998291016,4679000
2015-01-06,99.83000183105469,100.13999938964844,98.45999908447266,98.91999816894531,84.96337890625,3468300
2015-01-07,98.95999908447266,100.30000305175781,98.91999816894531,99.93000030517578,85.83087921142578,3225800
2015-01-08,101.56999969482422,104.9800033569336,100.72000122070312,104.69999694824219,89.9278793334961,5346100
2015-01-09,104.41999816894531,104.62999725341797,102.9000015258789,103.72000122070312,89.08615112304688,3397600
2015-01-12,103.83000183105469,104.0,101.91000366210938,102.55000305175781,88.08122253417969,3051500
2015-01-13,103.94000244140625,105.5999984741211,101.83999633789062,103.06999969482422,88.52786254882812,3856500
2015-01-14,101.61000061035156,103.4800033569336,101.18000030517578,103.33000183105469,88.75119018554688,4725600
2015-01-15,103.55999755859375,104.58999633789062,103.12999725341797,104.45999908447266,89.72174072265625,5888900
2015-01-16,104.5,106.0,103.6500015258789,105.7699966430664,90.84691619873047,6045500
2015-01-20,106.19999694824219,106.37999725341797,104.5,105.62000274658203,90.71806335449219,6526800
2015-01-21,106.5199966430664,109.44999694824219,105.62000274658203,109.31999969482422,93.89604949951172,8293700
2015-01-22,109.75,114.12000274658203,109.33000183105469,113.8499984741211,97.78690338134766,8055200
2015-01-23,113.63999938964844,114.31999969482422,112.0,112.0,96.19792175292969,5256000
2015-01-26,112.0,112.0,110.76000213623047,111.61000061035156,95.86295318603516,4203400
2015-01-27,110.94999694824219,111.25,109.91999816894531,110.01000213623047,94.48868560791016,4718300
2015-01-28,110.56999969482422,110.87999725341797,108.44999694824219,108.45999908447266,93.15738677978516,6633500
2015-01-29,108.1500015258789,109.58000183105469,106.73999786376953,109.38999938964844,93.95616912841797,4912300
2015-01-30,108.62000274658203,109.38999938964844,106.13999938964844,106.25,91.25918579101562,5397500
2015-02-02,106.7300033569336,107.33999633789062,105.06999969482422,107.29000091552734,92.1524429321289,4657100
2015-02-03,107.3499984741211,108.0,106.5199966430664,107.80999755859375,92.59911346435547,4192600
2015-02-04,106.83000183105469,108.73999786376953,106.75,107.91999816894531,92.69356536865234,4768900
2015-02-05,108.31999969482422,109.80999755859375,108.31999969482422,108.81999969482422,93.46658325195312,3297700
2015-02-06,108.58999633789062,109.4000015258789,107.19000244140625,107.5999984741211,92.41873931884766,3661400
2015-02-09,106.93000030517578,107.23999786376953,106.27999877929688,106.48999786376953,91.4653549194336,3909700
2015-02-10,107.26000213623047,109.45999908447266,107.12999725341797,108.97000122070312,93.5954360961914,5437400
2015-02-11,108.7300033569336,110.05999755859375,108.37999725341797,109.8499984741211,94.35126495361328,3798500
2015-02-12,110.69999694824219,110.77999877929688,108.83000183105469,109.83999633789062,94.3426742553711,3378000
2015-02-13,109.69000244140625,109.83999633789062,108.68000030517578,109.44000244140625,93.99913024902344,3727600
2015-02-17,109.33999633789062,109.76000213623047,108.5199966430664,109.76000213623047,94.27397155761719,3430600
2015-02-18,109.76000213623047,110.22000122070312,108.94999694824219,109.7699966430664,94.28253936767578,2958700
2015-02-19,109.54000091552734,110.36000061035156,109.44000244140625,110.02999877929688,94.505859375,2674800
2015-02-20,109.95999908447266,112.81999969482422,109.44000244140625,112.62000274658203,96.73046875,4647100
2015-02-23,112.98999786376953,116.48999786376953,112.8499984741211,116.4000015258789,99.97710418701172,7060000
2015-02-24,116.26000213623047,116.58000183105469,115.31999969482422,115.43000030517578,99.14399719238281,3582800
2015-02-25,115.81999969482422,115.81999969482422,113.72000122070312,114.05000305175781,97.95868682861328,3845900
2015-02-26,114.41000366210938,114.62000274658203,113.37000274658203,113.66000366210938,97.62372589111328,3126800
2015-02-27,113.7699966430664,114.25,113.41000366210938,113.62999725341797,97.59793853759766,4016400
2015-03-02,113.62999725341797,114.8499984741211,113.62999725341797,114.4000015258789,98.25933074951172,2952200
2015-03-03,113.94999694824219,114.48999786376953,112.36000061035156,112.86000061035156,96.93658447265625,3163700
2015-03-04,112.25,113.97000122070312,111.6500015258789,113.81999969482422,97.76118469238281,3180900
2015-03-05,114.06999969482422,115.72000122070312,114.06999969482422,114.79000091552734,98.59426879882812,2941400
2015-03-06,115.16000366210938,115.16000366210938,112.61000061035156,112.87999725341797,96.95377349853516,3196900
2015-03-09,112.97000122070312,114.95999908447266,112.87000274658203,114.9000015258789,98.68875122070312,3942000
2015-03-10,114.26000213623047,114.41000366210938,112.45999908447266,112.45999908447266,96.593017578125,3957900
2015-03-11,112.9000015258789,113.58999633789062,112.63999938964844,112.72000122070312,97.1402587890625,2593700
2015-03-12,113.31999969482422,115.05000305175781,113.1500015258789,114.87999725341797,99.0016860961914,3258600
2015-03-13,114.44000244140625,115.38999938964844,113.52999877929688,115.25,99.32057189941406,3066800
2015-03-16,116.0,118.69000244140625,115.81999969482422,118.5199966430664,102.13858795166016,4692200
2015-03-17,118.08000183105469,118.12999725341797,116.91999816894531,117.5999984741211,101.34576416015625,3303500
2015-03-18,117.43000030517578,120.5199966430664,116.7300033569336,119.95999908447266,103.37957000732422,5533500
2015-03-19,120.0,121.0999984741211,119.81999969482422,120.76000213623047,104.0689926147461,4032500
2015-03-20,121.3499984741211,121.52999877929688,119.0,119.13999938964844,102.67289733886719,7195700
2015-03-23,119.4800033569336,120.4800033569336,118.58999633789062,119.04000091552734,102.58673858642578,4576500
