Company,Ticker,GICS Sector,GICS Sub-Industry
Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment
Adobe,ADBE,Information Technology,Application Software
ADP,ADP,Information Technology,Data Processing & Outsourced Services
Airbnb,ABNB,Consumer Discretionary,Internet & Direct Marketing Retail
Align,ALGN,Health Care,Health Care Supplies
Alphabet (Class A),GOOGL,Communication Services,Interactive Media & Services
Alphabet (Class C),GOOG,Communication Services,Interactive Media & Services
Amazon,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
AMD,AMD,Information Technology,Semiconductors
American Electric Power,AEP,Utilities,Electric Utilities
Amgen,AMGN,Health Care,Biotechnology
Analog Devices,ADI,Information Technology,Semiconductors
Ansys,ANSS,Information Technology,Application Software
Apple,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
Applied Materials,AMAT,Information Technology,Semiconductor Equipment
ASML,ASML,Information Technology,Semiconductor Equipment
AstraZeneca,AZN,Health Care,Pharmaceuticals
Atlassian,TEAM,Information Technology,Application Software
Autodesk,ADSK,Information Technology,Application Software
Baidu,BIDU,Communication Services,Interactive Media & Services
Biogen,BIIB,Health Care,Biotechnology
Booking Holdings,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail
Broadcom,AVGO,Information Technology,Semiconductors
Cadence,CDNS,Information Technology,Application Software
Charter Communications,CHTR,Communication Services,Cable & Satellite
Cintas,CTAS,Industrials,Diversified Support Services
Cisco,CSCO,Information Technology,Communications Equipment
Cognizant,CTSH,Information Technology,IT Consulting & Other Services
Comcast,CMCSA,Communication Services,Cable & Satellite
Constellation,CEG,Utilities,Multi-Utilities
Copart,CPRT,Industrials,Diversified Support Services
Costco,COST,Consumer Staples,Hypermarkets & Super Centers
CrowdStrike,CRWD,Information Technology,Application Software
CSX,CSX,Industrials,Railroads
Datadog,DDOG,Information Technology,Application Software
DexCom,DXCM,Health Care,Health Care Equipment
DocuSign,DOCU,Information Technology,Application Software
Dollar Tree,DLTR,Consumer Discretionary,General Merchandise Stores
eBay,EBAY,Consumer Discretionary,Internet & Direct Marketing Retail
Electronic Arts,EA,Communication Services,Interactive Home Entertainment
Exelon,EXC,Utilities,Multi-Utilities
Fastenal,FAST,Industrials,Building Products
Fiserv,FISV,Information Technology,Data Processing & Outsourced Services
Fortinet,FTNT,Information Technology,Systems Software
Gilead,GILD,Health Care,Biotechnology
Honeywell,HON,Industrials,Industrial Conglomerates
Idexx Laboratories,IDXX,Health Care,Health Care Equipment
Illumina,ILMN,Health Care,Life Sciences Tools & Services
Intel,INTC,Information Technology,Semiconductors
Intuit,INTU,Information Technology,Application Software
Intuitive Surgical,ISRG,Health Care,Health Care Equipment
JD.com,JD,Consumer Discretionary,Internet & Direct Marketing Retail
Keurig Dr Pepper,KDP,Consumer Staples,Soft Drinks
KLA,KLAC,Information Technology,Semiconductor Equipment
Kraft Heinz,KHC,Consumer Staples,Packaged Foods & Meats
Lam Research,LRCX,Information Technology,Semiconductor Equipment
Lucid,LCID,Consumer Discretionary,Automobile Manufacturers
Lululemon,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Marvell,MRVL,Information Technology,Application Software
Match Group,MTCH,Communication Services,Interactive Media & Services
MercadoLibre,MELI,Consumer Discretionary,Internet & Direct Marketing Retail
Meta,FB,Communication Services,Interactive Media & Services
Microchip,MCHP,Information Technology,Semiconductors
Micron,MU,Information Technology,Semiconductors
Microsoft,MSFT,Information Technology,Systems Software
Moderna,MRNA,Health Care,Biotechnology
Mondelēz International,MDLZ,Consumer Staples,Packaged Foods & Meats
Monster Beverage,MNST,Consumer Staples,Soft Drinks
NetEase,NTES,Communication Services,Interactive Home Entertainment
Netflix,NFLX,Communication Services,Movies & Entertainment
Nvidia,NVDA,Information Technology,Semiconductors
NXP,NXPI,Information Technology,Semiconductors
O'Reilly Automotive,ORLY,Consumer Discretionary,Specialty Stores
Okta,OKTA,Information Technology,Application Software
Old Dominion Freight Line,ODFL,Industrials,Trucking
Paccar,PCAR,Industrials,Construction Machinery & Heavy Trucks
Palo Alto Networks,PANW,Information Technology,Application Software
Paychex,PAYX,Information Technology,Data Processing & Outsourced Services
PayPal,PYPL,Information Technology,Data Processing & Outsourced Services
PepsiCo,PEP,Consumer Staples,Soft Drinks
Pinduoduo,PDD,Consumer Discretionary,Internet & Direct Marketing Retail
Qualcomm,QCOM,Information Technology,Semiconductors
Regeneron,REGN,Health Care,Biotechnology
Ross Stores,ROST,Consumer Discretionary,Apparel Retail
Seagen,SGEN,Health Care,Biotechnology
Sirius XM,SIRI,Communication Services,Broadcasting
Skyworks,SWKS,Information Technology,Semiconductors
Splunk,SPLK,Information Technology,Application Software
Starbucks,SBUX,Consumer Discretionary,Restaurants
Synopsys,SNPS,Information Technology,Application Software
T-Mobile,TMUS,Communication Services,Wireless Telecommunication Services
Tesla,TSLA,Consumer Discretionary,Automobile Manufacturers
Texas Instruments,TXN,Information Technology,Semiconductors
Verisign,VRSN,Information Technology,Internet Services & Infrastructure
Verisk,VRSK,Industrials,Research & Consulting Services
Vertex,VRTX,Health Care,Biotechnology
Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
Workday,WDAY,Information Technology,Application Software
Xcel Energy,XEL,Utilities,Multi-Utilities
Zoom,ZM,Information Technology,Application Software
Zscaler,ZS,Information Technology,Application Software
